,Caseload ID,Caseload Level,Run Number,Week Number
284,cbt_2,23,0,9
285,cbt_3,24,0,9
286,cbt_4,25,0,9
287,cbt_5,23,0,9
288,cbt_6,24,0,9
289,cbt_7,24,0,9
290,cbt_8,25,0,9
291,cbt_9,24,0,9
292,cbt_10,25,0,9
293,cbt_11,23,0,9
294,cbt_12,25,0,9
295,cbt_13,25,0,9
296,couns_0,21,0,9
297,couns_1,20,0,9
298,couns_2,23,0,9
299,couns_3,22,0,9
300,pwp_0,42,0,10
301,pwp_1,38,0,10
302,pwp_2,39,0,10
303,pwp_3,45,0,10
304,pwp_4,36,0,10
305,pwp_5,39,0,10
306,pwp_6,37,0,10
307,pwp_7,32,0,10
308,pwp_8,35,0,10
309,pwp_9,38,0,10
310,pwp_10,36,0,10
311,pwp_11,44,0,10
312,cbt_0,25,0,10
313,cbt_1,23,0,10
314,cbt_2,22,0,10
315,cbt_3,24,0,10
316,cbt_4,25,0,10
317,cbt_5,23,0,10
318,cbt_6,24,0,10
319,cbt_7,24,0,10
320,cbt_8,25,0,10
321,cbt_9,23,0,10
322,cbt_10,25,0,10
323,cbt_11,23,0,10
324,cbt_12,24,0,10
325,cbt_13,25,0,10
326,couns_0,21,0,10
327,couns_1,19,0,10
328,couns_2,23,0,10
329,couns_3,22,0,10
330,pwp_0,41,0,11
331,pwp_1,37,0,11
332,pwp_2,38,0,11
333,pwp_3,45,0,11
334,pwp_4,37,0,11
335,pwp_5,37,0,11
336,pwp_6,36,0,11
337,pwp_7,31,0,11
338,pwp_8,36,0,11
339,pwp_9,38,0,11
340,pwp_10,36,0,11
341,pwp_11,43,0,11
342,cbt_0,25,0,11
343,cbt_1,23,0,11
344,cbt_2,22,0,11
345,cbt_3,24,0,11
346,cbt_4,24,0,11
347,cbt_5,23,0,11
348,cbt_6,24,0,11
349,cbt_7,23,0,11
350,cbt_8,25,0,11
351,cbt_9,23,0,11
352,cbt_10,25,0,11
353,cbt_11,23,0,11
354,cbt_12,24,0,11
355,cbt_13,25,0,11
356,couns_0,21,0,11
357,couns_1,18,0,11
358,couns_2,23,0,11
359,couns_3,21,0,11
360,pwp_0,39,0,12
361,pwp_1,37,0,12
362,pwp_2,37,0,12
363,pwp_3,44,0,12
364,pwp_4,36,0,12
365,pwp_5,37,0,12
366,pwp_6,35,0,12
367,pwp_7,32,0,12
368,pwp_8,35,0,12
369,pwp_9,37,0,12
370,pwp_10,37,0,12
371,pwp_11,42,0,12
372,cbt_0,25,0,12
373,cbt_1,23,0,12
374,cbt_2,22,0,12
375,cbt_3,24,0,12
376,cbt_4,24,0,12
377,cbt_5,23,0,12
378,cbt_6,24,0,12
379,cbt_7,23,0,12
380,cbt_8,24,0,12
381,cbt_9,23,0,12
382,cbt_10,25,0,12
383,cbt_11,23,0,12
384,cbt_12,24,0,12
385,cbt_13,25,0,12
386,couns_0,19,0,12
387,couns_1,17,0,12
388,couns_2,23,0,12
389,couns_3,22,0,12
390,pwp_0,38,0,13
391,pwp_1,38,0,13
392,pwp_2,37,0,13
393,pwp_3,42,0,13
394,pwp_4,36,0,13
395,pwp_5,34,0,13
396,pwp_6,35,0,13
397,pwp_7,34,0,13
398,pwp_8,36,0,13
399,pwp_9,37,0,13
400,pwp_10,38,0,13
401,pwp_11,42,0,13
402,cbt_0,25,0,13
403,cbt_1,23,0,13
404,cbt_2,22,0,13
405,cbt_3,24,0,13
406,cbt_4,24,0,13
407,cbt_5,23,0,13
408,cbt_6,24,0,13
409,cbt_7,22,0,13
410,cbt_8,24,0,13
411,cbt_9,23,0,13
412,cbt_10,25,0,13
413,cbt_11,23,0,13
414,cbt_12,24,0,13
415,cbt_13,25,0,13
416,couns_0,19,0,13
417,couns_1,16,0,13
418,couns_2,21,0,13
419,couns_3,22,0,13
420,pwp_0,37,0,14
421,pwp_1,39,0,14
422,pwp_2,36,0,14
423,pwp_3,43,0,14
424,pwp_4,37,0,14
425,pwp_5,38,0,14
426,pwp_6,34,0,14
427,pwp_7,33,0,14
428,pwp_8,36,0,14
429,pwp_9,37,0,14
430,pwp_10,39,0,14
431,pwp_11,42,0,14
432,cbt_0,24,0,14
433,cbt_1,23,0,14
434,cbt_2,22,0,14
435,cbt_3,24,0,14
436,cbt_4,24,0,14
437,cbt_5,23,0,14
438,cbt_6,24,0,14
439,cbt_7,22,0,14
440,cbt_8,23,0,14
441,cbt_9,24,0,14
442,cbt_10,25,0,14
443,cbt_11,23,0,14
444,cbt_12,24,0,14
445,cbt_13,25,0,14
446,couns_0,20,0,14
447,couns_1,16,0,14
448,couns_2,21,0,14
449,couns_3,21,0,14
450,pwp_0,37,0,15
451,pwp_1,39,0,15
