,Week Number,Referral Screen Mins,Referrals Rejected,Referrals Delay Opt-in,Referrals Opted-in,Referrals Wait Opt-in,TA Total Accept,Run
6,6,13469.372519179517,198.0,0.37796645131462975,267.0,1.5719995030812097,28.0,1
7,7,15805.87394306251,231.0,0.376542878200652,316.0,1.5699944996327657,33.0,1
8,8,18127.24833080337,265.0,0.37859355707444897,357.0,1.5325507338019972,37.0,1
9,9,20212.09108185827,295.0,0.37796823142792196,394.0,1.534786320856502,42.0,1
10,10,22439.247661086534,329.0,0.3795372550692459,436.0,1.549223401705244,47.0,1
11,11,24706.798329440273,357.0,0.3780693206262329,479.0,1.551468807334406,52.0,1
12,12,27071.07349383064,396.0,0.38115192678926874,520.0,1.5493964655448313,57.0,1
13,13,29011.317332036655,424.0,0.3804945202151056,551.0,1.5500247141076549,62.0,1
14,14,30838.437564011994,449.0,0.37865556497391156,581.0,1.5479708090422089,67.0,1
15,15,32441.82942174247,478.0,0.38130983605751956,609.0,1.5565614480689742,72.0,1
16,16,34412.44255396831,504.0,0.38524714436870056,651.0,1.5581328274167274,76.0,1
17,17,36420.969327985236,537.0,0.38207502916347974,680.0,1.5526509616992314,80.0,1
18,18,38199.130059054776,572.0,0.37981833679271637,706.0,1.5508829513429958,85.0,1
19,19,40041.04952842763,593.0,0.3797179030390891,740.0,1.5277237270183677,90.0,1
20,20,42084.788501852396,630.0,0.3822862800620116,776.0,1.514844888168494,94.0,1
21,21,44198.34989880247,655.0,0.38454030080756196,818.0,1.5024111347629185,98.0,1
22,22,45714.10185262989,688.0,0.3852744054304866,842.0,1.495652304530895,103.0,1
23,23,47607.176001690226,711.0,0.38408455857569623,880.0,1.493501921515571,107.0,1
24,24,49505.32468748358,747.0,0.3832746791601073,915.0,1.4965276295355445,112.0,1
25,25,51350.66621615816,775.0,0.3816913323354461,951.0,1.4931257563705538,116.0,1
26,26,53299.56037059323,814.0,0.38395939969586174,987.0,1.4966650148465201,120.0,1
27,27,55269.1642881332,845.0,0.3827119236019444,1019.0,1.4927668873485906,124.0,1
28,28,57283.41171832575,879.0,0.3812686939951603,1055.0,1.500127285816961,128.0,1
29,29,59299.63468038876,913.0,0.38243777237908283,1094.0,1.498120552953748,132.0,1
30,30,61157.47064037889,938.0,0.38276210236426633,1134.0,1.4933007892487342,137.0,1
31,31,62950.1486005327,969.0,0.3790815125524876,1155.0,1.4754405878957044,142.0,1
32,32,64918.51227753242,997.0,0.37906076781359077,1190.0,1.4788969867826123,146.0,1
33,33,66999.3138285768,1031.0,0.3775495805470607,1220.0,1.472386803616253,151.0,1
34,34,69004.42082926544,1065.0,0.3777281877160491,1253.0,1.4628512425692968,156.0,1
35,35,70796.09576632803,1095.0,0.37806390852104926,1286.0,1.4663472424933612,161.0,1
